company,city,country,component,location_source_url,component_source_url,confidence,notes
nichias,Tokyo,Japan,industrial thermal insulation & sealing gaskets,https://www.globaldata.com/company-profile/nichias-corp/,https://www.nichias.co.jp/en,high,"HQ Chuo, Tokyo. NAME COLLISION WATCH: distinct from Nichia Corp (LED/phosphor maker) - matched to NICHIAS (TYO:5393), the insulation/sealing firm."
sunwoda electronic,Shenzhen,China,lithium-ion battery cells & packs,https://en.wikipedia.org/wiki/Sunwoda,https://en.wikipedia.org/wiki/Sunwoda,high,HQ Shenzhen (SZSE:300207). Consumer 3C batteries + EV battery systems; a top Chinese EV-battery supplier.
zeon,Tokyo,Japan,specialty synthetic rubber (HNBR/polybutadiene),https://www.zeon.co.jp/en/,https://www.zeonchemicals.com/products/,high,"HQ Marunouchi, Chiyoda, Tokyo. Flagship Zetpol HNBR + polybutadiene/isoprene rubber; C4/C5 chemistry."
nan ya plastics,Taipei,Taiwan,PVC & polyester plastics (also copper-clad laminates),https://www.globaldata.com/company-profile/nan-ya-plastics-corp/locations/,https://www.globaldata.com/company-profile/nan-ya-plastics-corp/,medium,HQ CITY AMBIGUOUS: registered offices in Taipei (Neihu/Dunhua N. Rd) but some sources say Kaohsiung; parent Formosa Plastics Group. Diversified - also world's largest copper-clad-laminate maker + ethylene glycol.
krakatau steel persero tbk pt,Cilegon,Indonesia,hot-rolled & cold-rolled steel coil,https://en.wikipedia.org/wiki/Krakatau_Steel,https://en.wikipedia.org/wiki/Krakatau_Steel,high,"HQ Cilegon, Banten. Largest Indonesian steelmaker (state-owned); HRC, CRC, wire rod, slab, pipe."
gunung raja paksi tbk pt,Cikarang,Indonesia,hot-rolled steel plate & sections,https://www.gunungrajapaksi.com/about,https://www.gunungrajapaksi.com/about,high,"HQ/plant Cikarang Barat, Bekasi, West Java (~2.2 Mt/yr). Private; part of Gunung Steel Group. HRC, plate, welded beams, ERW pipe."
waskita karya persero tbk pt,Jakarta,Indonesia,precast concrete & infrastructure construction,https://en.wikipedia.org/wiki/Waskita_Karya,https://en.wikipedia.org/wiki/Waskita_Karya,medium,"HQ Cawang, Jakarta. State-owned CONSTRUCTION firm, not a discrete parts maker - 'component' is precast concrete + toll-road/bridge construction & steel fabrication."
medco energi internasional tbk pt,Jakarta,Indonesia,crude oil & natural gas (upstream E&P),https://en.wikipedia.org/wiki/MedcoEnergi,https://en.wikipedia.org/wiki/MedcoEnergi,high,"HQ SCBD, South Jakarta. Indonesia's largest listed private oil & gas E&P; also power and copper/gold mining."
tenaris,Luxembourg City,Luxembourg,seamless & welded steel pipe (OCTG),https://www.sec.gov/Archives/edgar/data/0001190723/000155485525000262/ts-20241231.htm,https://www.sec.gov/Archives/edgar/data/0001190723/000155485525000262/ts-20241231.htm,medium,"HQ Luxembourg is legal/financial domicile (26 Bd Royal); no plant there. Production global; flagship seamless mill is Siderca in Campana, Argentina (Techint group). Consider Campana if graph wants a production site."
stellantis,Amsterdam,Netherlands,passenger & light commercial vehicles,https://en.wikipedia.org/wiki/Stellantis,https://en.wikipedia.org/wiki/Stellantis,high,"Passenger & light commercial vehicles, HQ Amsterdam. 'stellantis hv' was a duplicate/split node in the raw graph (same 'Netherlands' country attribute, 4 of its 6 suppliers already shared with this node) - merged in. Its 2 non-overlapping edges (lucky cement, grupo industrial saltillo sab de cv) were re-pointed here. This also captures the real-world Stellantis-Lucky Motor Pakistan CKD assembly relationship (Port Qasim, Karachi) without needing a separate node."
great wall motor,Baoding,China,SUVs & pickup trucks,https://en.wikipedia.org/wiki/Great_Wall_Motor,https://en.wikipedia.org/wiki/Great_Wall_Motor,high,"HQ + plants Baoding, Hebei (Lianchi/Xushui). Brands Haval, Tank, Ora, WEY, GWM Pickup."
nio,Hefei,China,battery-electric vehicles,https://cnevpost.com/2020/02/25/nio-china-headquarters-will-be-in-hefei-report-says/,https://www.nio.com/news/500000th-mass-produced-vehicle,high,"Vehicles built in Hefei, Anhui (JAC-NIO F1/F2/F3 plants) - reported production site per rule; global R&D HQ Shanghai; incorporated Cayman."
guangzhou automobile,Guangzhou,China,passenger vehicles (incl. Aion BEVs),https://en.wikipedia.org/wiki/GAC_Group,https://en.wikipedia.org/wiki/GAC_Group,high,"State-owned; HQ & plants Guangzhou, Guangdong. Brands Trumpchi, Aion (BEV), Hyptec + Toyota/Honda JVs."
nissan motor,Yokohama,Japan,passenger vehicles,https://www.nissan-global.com/EN/COMPANY/PROFILE/,https://www.nissan-global.com/EN/COMPANY/PROFILE/,high,"HQ Yokohama, Kanagawa; Nissan/Infiniti brands. Sold HQ building (sale-leaseback) 2025 but remains HQ'd there."
china faw,Changchun,China,passenger vehicles & trucks,https://en.wikipedia.org/wiki/FAW_Group,https://en.wikipedia.org/wiki/FAW_Group,high,"State-owned; HQ Changchun, Jilin. Brands Hongqi, Bestune, Jiefang (trucks) + FAW-VW/FAW-Toyota JVs."
nexen tire,Yangsan,South Korea,automotive tires,https://en.wikipedia.org/wiki/Nexen_Tire,https://en.wikipedia.org/wiki/Nexen_Tire,high,"HQ & lead plant/R&D Yangsan, S. Gyeongsang; also Changnyeong (KR), Qingdao (CN), Zatec (CZ). NAME NOTE: Nexen Tire the tyre maker, distinct from Nexen Co./Nexen Energy (oil)."
forvia se,Nanterre,France,automotive seating & interior systems,https://en.wikipedia.org/wiki/Forvia,https://en.wikipedia.org/wiki/Forvia,high,"Forvia SE (formerly Faurecia), HQ Nanterre (Paris). World #1 vehicle interiors & emission control; merged with Hella (lighting/electronics)."
wooshin systems,Siheung,South Korea,automotive body-assembly & EV battery production equipment,https://www.dnb.com/business-directory/company-profiles.wooshin_systems_coltd.aba22abd93dcf6a315417a057025a96f.html,http://www.wooshinsys.co.kr/eng/business/evbpp.php,high,"HQ Siheung, Gyeonggi (KRX:017370). Body-automation lines + EV battery assembly equipment (capital goods) + seatbelts/interior parts."
baic bluepark new energy technology,Beijing,China,battery-electric vehicles,https://en.wikipedia.org/wiki/BAIC_BluePark,https://en.wikipedia.org/wiki/BAIC_BluePark,high,"BAIC Group NEV arm, HQ Beijing Economic-Tech Dev Area; Arcfox & BJEV brands (Arcfox JV w/ Magna). Renaming to BAIC Arcfox New Energy (2025)."
eicher motors,Chennai,India,motorcycles (Royal Enfield mid-size),https://en.wikipedia.org/wiki/Royal_Enfield,https://eicher.in/our-business,high,"Core business Royal Enfield motorcycles - HQ & plants Chennai (Oragadam, Vallam Vadagal). Eicher Motors registered office New Delhi; also VE Commercial Vehicles (trucks/buses, Volvo JV) at Pithampur. Reported Chennai production base per rule."
hyundai transys,Seosan,South Korea,automotive transmissions & seats,https://en.wikipedia.org/wiki/Hyundai_Transys,https://en.wikipedia.org/wiki/Hyundai_Transys,high,"HQ Seosan, S. Chungcheong. Formed 2019 (Hyundai Dymos + Hyundai Powertech merger). Transmissions/DCT/EV reducers + complete seats. Hyundai Motor Group affiliate."
saic volkswagen automotive,Shanghai,China,passenger vehicles,https://en.wikipedia.org/wiki/SAIC_Volkswagen,https://en.wikipedia.org/wiki/SAIC_Volkswagen,high,"JV of SAIC (50%) & VW Group; HQ & main base Anting, Jiading District, Shanghai. Produces VW, Skoda, Audi marques."
nexteer automotive,Auburn Hills,United States,electric power steering & driveline systems,https://en.wikipedia.org/wiki/Nexteer_Automotive,https://en.wikipedia.org/wiki/Nexteer_Automotive,high,"Global HQ Auburn Hills, Michigan. Owned by Pacific Century Motors (AVIC); ex-GM/Delphi steering business. HK-listed."
xpeng,Zhaoqing,China,battery-electric vehicles,https://insideevs.com/news/427879/xpeng-opens-new-factory-zhaoqing/,https://en.wikipedia.org/wiki/XPeng,high,"Main plant Zhaoqing, Guangdong (also Guangzhou, Wuhan) - production site per rule; HQ Guangzhou; incorporated Cayman."
gotion high-tech,Hefei,China,lithium iron phosphate (LFP) battery cells,https://en.wikipedia.org/wiki/Gotion,https://en.gotion.com.cn/about.html,high,"HQ Hefei, Anhui. LFP & NCM cells/packs/ESS/BMS; Volkswagen largest shareholder; ~world #6 battery maker."
schaeffler,Herzogenaurach,Germany,rolling bearings & precision drivetrain components,https://en.wikipedia.org/wiki/Schaeffler_Group,https://en.wikipedia.org/wiki/Schaeffler_Group,high,"HQ Herzogenaurach, Bavaria. Brands INA, LuK, FAG; bearings + e-mobility/chassis. Merged with Vitesco 2024."
adient,Plymouth,United States,automotive seating systems,https://en.wikipedia.org/wiki/Adient,https://en.wikipedia.org/wiki/Adient,high,"Operational HQ Plymouth, Michigan; legal domicile Dublin, Ireland (reported operating HQ per production-site rule). World's largest automotive seating maker; ex-Johnson Controls spin-off."
valeo se,Paris,France,"automotive lighting, thermal & driving-assistance systems",https://en.wikipedia.org/wiki/Valeo,https://www.valeo.com/en/valeo-around-the-world/,high,"HQ 100 Rue de Courcelles, Paris. Tier-1; segments Powertrain, Thermal, Comfort/Driving-Assistance, Visibility (lighting). All-automotive so single phrase covers flagship lines."
shanghai jiao yun,Shanghai,China,automotive powertrain & body component assemblies,https://stockanalysis.com/quote/sha/600676/company/,https://www.marketscreener.com/quote/stock/SHANGHAI-JIAO-YUN-GROUP-C-9950153/company/,medium,"HQ Shanghai (SSE:600676). DIVERSIFIED group - primarily road freight/logistics + passenger-car dealerships/after-service, plus an auto-parts manufacturing segment (powertrain/body assemblies) = the supply-chain slice reported."
audi,Ingolstadt,Germany,premium passenger vehicles,https://en.wikipedia.org/wiki/Audi,https://en.wikipedia.org/wiki/Audi,high,"HQ & main plant Ingolstadt, Bavaria; VW Group subsidiary. A3/A6 e-tron/Q6 e-tron built there."
denso,Kariya,Japan,automotive thermal & powertrain systems,https://en.wikipedia.org/wiki/Denso,https://en.wikipedia.org/wiki/Denso,high,"HQ Kariya, Aichi. Toyota Group Tier-1; thermal, powertrain, electrification, mobility electronics, fuel injection."
kyb,Tokyo,Japan,shock absorbers & hydraulic systems,https://en.wikipedia.org/wiki/KYB_Corporation,https://en.wikipedia.org/wiki/KYB_Corporation,high,"HQ Minato, Tokyo (formerly Kayaba). World-leading shock absorber maker (75M+/yr) + hydraulics."
toyota boshoku,Kariya,Japan,"automotive seats, interior trim & filters",https://en.wikipedia.org/wiki/Toyota_Boshoku,https://en.wikipedia.org/wiki/Toyota_Boshoku,high,"HQ Kariya, Aichi. Toyota Group interior-systems supplier & filter maker; seats, door trim, headliners, air/oil filters."
changan ford automobile,Chongqing,China,passenger vehicles,https://en.wikipedia.org/wiki/Changan_Ford,https://en.wikipedia.org/wiki/Changan_Ford,high,"50/50 JV of Changan & Ford; HQ & lead plants Chongqing (also Hangzhou, Harbin). Builds Ford-brand cars for China."
guangqi honda automobile,Guangzhou,China,passenger vehicles,https://en.wikipedia.org/wiki/GAC_Honda,https://en.wikipedia.org/wiki/GAC_Honda,high,"GAC-Honda JV (50:40:10); HQ Guangzhou; plants Huangpu & Zengcheng. Gasoline, hybrid & EV models."
haima automobile,Haikou,China,passenger vehicles & EVs,https://en.wikipedia.org/wiki/Haima_Automobile,https://www.dnb.com/business-directory/company-profiles.hainan_haima_automobile_co_ltd.c2feb9446bd0c59511564d2129eba11b.html,medium,"Principal production Haikou, Hainan (only Hainan FTP automaker with fuel/EV/FCEV production qualifications) - reported per production-site rule; corporate HQ relocated to Zhengzhou, Henan in 2016. Ex-Mazda JV, now FAW-linked (SZSE:000572)."
jiangling motor holding,Nanchang,China,light trucks & commercial vehicles,https://en.wikipedia.org/wiki/Jiangling_Motors,https://en.wikipedia.org/wiki/Jiangling_Motors,high,"HQ & plants Nanchang, Jiangxi. JMC group; Ford holds ~32% of listed JMC (SZSE:000550); light trucks, vans, pickups, SUVs."
linamar,Guelph,Canada,machined powertrain & driveline components,https://en.wikipedia.org/wiki/Linamar,https://en.wikipedia.org/wiki/Linamar,high,"HQ Guelph, Ontario (TSX:LNR). Precision machining/casting/forging of engine, transmission & driveline parts; also Industrial (Skyjack)."
vinfast auto,Hai Phong,Vietnam,battery-electric vehicles,https://vinfastauto.us/newsroom/press-kit/vietnam-manufacturing-facility,https://en.wikipedia.org/wiki/VinFast,high,"Principal plant Hai Phong (Cat Hai Island) - reported per production-site rule; corporate HQ Hanoi. Vingroup EV arm; also plants Ha Tinh (VN), Tamil Nadu (IN), West Java (ID)."
sanyang motor,Hsinchu,Taiwan,scooters & motorcycles,https://en.wikipedia.org/wiki/Sanyang_Motor,https://en.wikipedia.org/wiki/Sanyang_Motor,high,"HQ Hukou, Hsinchu (SYM brand); production Taiwan/China/Vietnam. Two-wheelers primary; also assembles Hyundai cars/mini-trucks under licence in Taiwan."
zotye automobile,Jinhua,China,passenger vehicles (fuel & NEV),https://en.wikipedia.org/wiki/Zotye_Auto,https://en.wikipedia.org/wiki/Zotye_Auto,medium,"HQ Yongkang, Jinhua, Zhejiang (SZSE:000980). Brands Zotye/Jiangnan. NOTE: financially distressed/near-defunct after 2019 collapse, partial restart - status volatile."
dae won kang up,Cheonan,South Korea,automotive suspension springs,https://stockanalysis.com/quote/krx/000430/company/,https://stockanalysis.com/quote/krx/000430/company/,high,"Daewon Kang Up (KRX:000430), HQ Cheonan. Coil/leaf/air/stabilizer suspension springs + valve springs; also auto seats. Hyundai GF Holdings is largest shareholder."
changchun yidong clutch,Changchun,China,automotive diaphragm-spring clutches,https://www.marketscreener.com/quote/stock/CHANGCHUN-YIDONG-CLUTCH-C-9950173/,https://www.emis.com/php/company-profile/CN/Changchun_Yidong_Clutch_Co_Ltd__en_1737534.html,high,"HQ Changchun, Jilin (SSE:600148). China's first listed auto-clutch maker; diaphragm-spring clutches + hydraulic cylinders. Part of Norinco (China Ordnance) group."
dy,Incheon,South Korea,automotive wiper systems & small motors,https://stockanalysis.com/quote/krx/013570/company/,https://stockanalysis.com/quote/krx/013570/company/,medium,"DY Corporation (KRX:013570, formerly Dongyang Mechatronics), HQ Incheon. DIVERSIFIED (hydraulic machinery, car-wash/cranes); auto slice = wiper systems, window/fan/sunroof/EPS motors = reported. NAME NOTE: 'DY' resolved to DY Corporation via KRX:013570."
iav automotive engineering,Berlin,Germany,automotive powertrain & software engineering services,https://en.wikipedia.org/wiki/IAV_GmbH,https://en.wikipedia.org/wiki/IAV_GmbH,high,"IAV GmbH (Ingenieurgesellschaft Auto und Verkehr), HQ Berlin. Engineering-SERVICES partner (powertrain, e-drive, electronics, software) - not a parts manufacturer; VW-linked."
munjal showa,Gurugram,India,"shock absorbers, struts & front forks",https://munjalshowa.net/,https://www.indiamart.com/munjalshowa-limited/aboutus.html,high,"HQ & plant Gurugram (Gurgaon), Haryana. Hero Group + Showa (Japan) JV; suspension for two- & four-wheelers (Hero, Maruti, Honda)."
fisker,Graz,Austria,battery-electric vehicles (Ocean SUV),https://insideevs.com/news/718677/fisker-closing-california-headquarters-report/,https://techcrunch.com/2024/06/18/ev-startup-fisker-files-for-bankruptcy,medium,"Vehicles contract-built by Magna Steyr in Graz, Austria - reported as production site per rule; corporate HQ was Manhattan Beach, California (now closed). Filed Chapter 11 bankruptcy Jun-2024; effectively defunct."
polestar automotive holding uk,Gothenburg,Sweden,battery-electric vehicles,https://en.wikipedia.org/wiki/Polestar,https://en.wikipedia.org/wiki/Polestar,medium,"Brand/operational HQ Gothenburg (on Volvo campus); listed as Polestar Automotive Holding UK PLC. Volvo/Geely-owned; cars built at Geely/Volvo plants in China (Luqiao, Chengdu, Chongqing) + South Carolina - no single principal plant, so HQ reported."
shenyang jinbei automotive,Shenyang,China,light commercial vehicles (vans & minibuses),https://en.wikipedia.org/wiki/Jinbei_(car_brand),https://en.wikipedia.org/wiki/Jinbei_(car_brand),high,"HQ & plant Shenyang, Liaoning. Part of Brilliance/Huachen group; Renault-Brilliance-Jinbei JV; brands Jinbei, Huasong."
atlas honda,Karachi,Pakistan,motorcycles,https://en.wikipedia.org/wiki/Atlas_Honda,https://en.wikipedia.org/wiki/Atlas_Honda,high,"HQ & mother plant Karachi (also Sheikhupura). Atlas Group + Honda JV; Pakistan's largest motorcycle maker. NAME NOTE: distinct from 'Honda Atlas Cars Pakistan' (the separate car JV, also in this list)."
gm korea,Incheon,South Korea,passenger vehicles,https://en.wikipedia.org/wiki/GM_Korea,https://en.wikipedia.org/wiki/GM_Korea,high,"HQ & R&D Bupyeong, Incheon; plants Bupyeong & Changwon. GM subsidiary (ex-GM Daewoo); builds Chevrolet/Buick."
yeong hwa metal,Changwon,South Korea,automotive iron castings (engine & chassis parts),https://www.dnb.com/business-directory/company-profiles.yeong_hwa_metal_co_ltd.803419abf74b2d2797120b65526ff861.html,http://www.yeonghwa.co.kr/eng/,high,"HQ Changwon, S. Korea (KRX:012280). Cylinder blocks, flywheels, brake discs/drums, housings. NAME NOTE: some aggregators mislabel as Taiwanese - confirmed Korean via KRX:012280 (may have a Tainan, TW facility)."
dongfeng electronic technology,Shanghai,China,automotive electronics (cockpit/body & e-drive systems),https://www.marketscreener.com/quote/stock/DONG-FENG-ELECTRONIC-TECH-6500530/company/,https://www.marklines.com/en/top500/dongfeng-electronic-technology,high,"HQ Shanghai (SSE:600081). Subsidiary of Dongfeng Motor Parts (Group). Cockpit/body systems, instruments, braking, e-drive, sensors; minor housing-rental segment."
honda atlas cars pakistan,Lahore,Pakistan,passenger vehicles,https://en.wikipedia.org/wiki/Honda_Atlas_Cars,https://en.wikipedia.org/wiki/Honda_Atlas_Cars,high,"HQ & plant Manga Mandi, Lahore (PSX:HCAR). Honda + Atlas Group JV; assembles Honda City/Civic/CR-V. NAME NOTE: distinct from 'Atlas Honda' (motorcycles, Karachi)."
jay ushin,Gurugram,India,automotive locksets & security systems,https://www.dnb.com/business-directory/company-profiles.jay_ushin_limited.3e72c5e569838e5873ce9c131ab332a4.html,https://www.indiamart.com/jay-ushgurgaon/,high,"HQ Gurugram (Gurgaon), Haryana; plants Manesar/Gurgaon/Pune. India + U-Shin (Japan) JV; ignition locksets, keys, immobilizers, door latches, heater-control panels."
nwtn,Abu Dhabi,United Arab Emirates,battery-electric vehicles (Rabdan One),https://www.nwtnmotors.com/media/nwtn-reports-progress-at-uae-electric-vehicle-assembly-facility-and-china-supply-chain-facility,https://www.nasdaq.com/press-release/nwtns-new-energy-vehicle-rabdan-one-officially-recognized-with-made-in-the-emirates,medium,"Assembly plant in KEZAD, Abu Dhabi - reported per production-site rule; corporate HQ Dubai; China supply-chain base. Nasdaq-listed; early-stage, very low volume."
topre,Tokyo,Japan,automotive stamped/pressed body parts,https://en.wikipedia.org/wiki/Topre,https://www.topre.co.jp/en/products/press/,medium,"HQ Koto, Tokyo (TSE:5975, ex-Tokyo Press Kogyo). Auto press parts (pillars, radiator core supports, door beams, EV battery cases) is the supply-chain slice matching customers g-tekt/h-one; DIVERSIFIED - also truck refrigeration units & HVAC."
grupo simec sab de cv,Guadalajara,Mexico,special-bar-quality (SBQ) & structural steel,https://www.dnb.com/business-directory/company-profiles.grupo_simec_sab_de_cv.67e6fcc12bd267ebda43f9083f337a07.html,https://gsimec.com.mx/history.php,high,HQ & minimills Guadalajara (also Mexicali + US). SBQ steel used for auto axles/hubs/crankshafts + structural sections/rebar. ICH/Simec group.
vallourec saca,Belo Horizonte,Brazil,seamless steel tubes,https://en.wikipedia.org/wiki/Vallourec,https://www.vallourec.com/perspective/our-industrial-footprint/,medium,"HQ Meudon, France is an office (no mill). Principal integrated tube production now in Minas Gerais, Brazil (Barreiro works, Belo Horizonte; Jeceaba mill w/ own ore & blast furnace) after European mill closures; also US (Youngstown/Houston) - reported production site per rule."
indian oil,New Delhi,India,refined fuels & SERVO lubricants,https://en.wikipedia.org/wiki/Indian_Oil_Corporation,https://en.wikipedia.org/wiki/Indian_Oil_Corporation,high,"Head office New Delhi (registered office Mumbai). Maharatna PSE; 11 refineries (Panipat, Mathura, Gujarat, Haldia...). Fuels, LPG (Indane), SERVO lubricants, petrochemicals."
ningbo shanshan,Ningbo,China,lithium-ion battery anode materials (synthetic graphite),https://www.ssgf.net/index/en/business3.html,https://www.ssgf.net/index/en/business3.html,high,"HQ Ningbo, Zhejiang (SSE:600884). World #1 in anode-material shipments (synthetic/natural graphite, silicon anode); ex-apparel firm pivoted to battery materials 1999."
taiwan cement,Taipei,Taiwan,cement (Portland & low-carbon),https://www.marketscreener.com/quote/stock/TCC-GROUP-HOLDINGS-CO-LTD-6491605/company/,https://www.tccgroupholdings.com/en/,high,"HQ Taipei (TWSE:1101, TCC Group Holdings). Core = cement/concrete; also expanding into energy storage/BESS & Li-ion batteries (NHOA/Molicel) - cement remains primary output."
sumitomo chemical,Tokyo,Japan,engineering plastics & Li-ion battery materials,https://en.wikipedia.org/wiki/Sumitomo_Chemical,https://en.wikipedia.org/wiki/Sumitomo_Chemical,medium,"HQ Tokyo (& Osaka). DIVERSIFIED (petrochemicals, IT chemicals, agro, pharma); auto/supply-chain slice = super engineering plastics + Li-ion battery materials/separators = reported per rule."
daikin industries,Osaka,Japan,fluoropolymers & fluoroelastomers,https://en.wikipedia.org/wiki/Daikin,https://www.daikinchemicals.com/company.html,medium,"HQ Osaka. DIVERSIFIED - world's #1 air-conditioning maker; supply-chain slice = fluoropolymers/fluoroelastomers (seals, coatings, EV/battery) matching customers nok/chuo spring = reported per rule."
cx technology,Taipei,Taiwan,cold-forged metal & automotive speaker components,https://stockanalysis.com/quote/tpe/2415/company/,https://www.cxtechnology.com/,high,HQ Taipei (TPE:2415). Cold forging/stamping/plastic injection; global leader (~19%) in cold-forged auto stereo-speaker components + metal auto parts. NAME/PRODUCT NOTE: verified via TPE:2415 - NOT a steel-cord/PCB maker as the name might suggest.
corteva,Indianapolis,United States,crop-protection chemicals & seeds,https://en.wikipedia.org/wiki/Corteva,https://www.globaldata.com/company-profile/corteva-inc/,medium,HQ Indianapolis (agri-science; ex-DowDuPont ag). GRAPH-FIT FLAG: Corteva is a pure agriculture company (herbicides/insecticides/seeds) - its link to brake makers (sangsin/saeron) via BASF looks questionable; component is confident but automotive placement may be a graph artifact. (Splitting HQ Indianapolis/Johnston IA in Q4-2026.)
nsk,Tokyo,Japan,rolling bearings (automotive & industrial),https://en.wikipedia.org/wiki/NSK_Ltd.,https://en.wikipedia.org/wiki/NSK_Ltd.,high,"HQ Shinagawa, Tokyo (Nippon Seiko, TSE:6471). Japan's largest bearing maker; also electric power steering & transmission components."
minebea mitsumi,Tokyo,Japan,miniature ball bearings & electronic components,https://en.wikipedia.org/wiki/MinebeaMitsumi,https://en.wikipedia.org/wiki/MinebeaMitsumi,high,"Corporate HQ Minato, Tokyo; registered office Miyota, Nagano; major miniature-bearing production in Thailand/China. World's largest share (~65%) in miniature ball bearings; also motors, electronic devices."
saudi basic industries,Jubail,Saudi Arabia,polyolefins & engineering thermoplastics,https://en.wikipedia.org/wiki/SABIC,https://www.sabic.com/en/about,medium,"SABIC - corporate HQ Riyadh; principal production complexes Al-Jubail (reported per production-site rule) & Yanbu. DIVERSIFIED (also agri-nutrients, metals, chemicals); polymers = auto-relevant slice (PP/PE/PC/engineering thermoplastics)."
asiana airlines,Seoul,South Korea,air passenger & cargo transport,https://en.wikipedia.org/wiki/Asiana_Airlines,https://en.wikipedia.org/wiki/Asiana_Airlines,high,"HQ Gangseo-gu, Seoul; hub Incheon. SERVICE firm (airline), not a parts maker - 'component' is air transport. Ex-Kumho Asiana group (the tie to Kumho Tire); became a Korean Air subsidiary in 2024."
